Qualification,Experience,Rating,Profile,Fees,Number_degrees_diploma_certificate,Qual_unknown,Qual_BDS,Qual_BHMS,Qual_BAMS,Qual_MBBS,Qual_MS,Qual_MD,Qual_MDS,Qual_DIPLOMA,Qual_PHD,Qual_others,Area,City,Number_Feedback,Approx_Fees,Misc_Info,Area_Codes,City_Bangalore,City_Chennai,City_Coimbatore,City_Delhi,City_Ernakulam,City_Hyderabad,City_Mumbai,City_Sector 5,City_Thiruvananthapuram,City_Unknown,Profile_Ayurveda,Profile_Dentist,Profile_Dermatologists,Profile_ENT Specialist,Profile_General Medicine,Profile_Homeopath
"MBBS, MD - General Medicine",10,0,General Medicine,200,2,0,0,0,0,1,0,1,0,0,0,0,Saroor Nagar,Hyderabad,0,0,0,751,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"MBBS, Diploma in Otorhinolaryngology (DLO)",24,0,ENT Specialist,100,2,0,0,0,0,1,0,0,0,1,0,0,Tambaram West,Chennai,0,0,0,824,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MBBS, MF- Homeopathy",5,0,Homeopath,300,2,0,0,0,0,1,0,0,0,0,0,0,Purasawakkam,Chennai,0,0,0,668,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MBBS, MS - ENT",19,79,ENT Specialist,400,2,0,0,0,0,1,1,0,0,0,0,0,KPHB,Hyderabad,8,0,1,315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
MBBS,19,100,General Medicine,150,1,0,0,0,0,1,0,0,0,0,0,0,HSR Layout,Bangalore,4,0,1,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MDS, DNB, BDS",21,100,Dentist,100,3,0,1,0,0,0,1,1,1,1,0,0,Pollachi,Coimbatore,7,0,1,652,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, DNB - ENT",14,0,ENT Specialist,500,2,0,0,0,0,1,0,0,0,1,0,0,Vasundhra Enclave,Delhi,0,0,1,882,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
MBBS,41,0,General Medicine,200,1,0,0,0,0,1,0,0,0,0,0,0,Chembur,Mumbai,0,0,0,121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"MBBS, Fellowship of College of General Practice (FCGP)",31,0,General Medicine,100,2,0,0,0,0,1,0,0,0,0,0,0,Thammanam,Ernakulam,0,0,0,830,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"MBBS, DDVL",23,0,Dermatologists,100,2,0,0,0,0,1,0,0,0,1,0,0,Andheri,Mumbai,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
BDS,5,0,Dentist,100,1,0,1,0,0,0,0,0,0,0,0,0,Pattom,Thiruvananthapuram,0,0,0,632,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"MBBS, IBCLC (USA)",25,100,General Medicine,500,2,0,0,0,0,1,0,0,0,0,0,0,HSR Layout,Bangalore,46,0,1,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",12,95,General Medicine,250,3,0,0,0,0,1,0,1,0,1,0,0,Kukatpally,Hyderabad,6,0,1,420,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"BDS, MDS",16,0,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Vadavalli,Coimbatore,0,0,0,869,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Diploma in Dermatology, MBBS",15,97,Dermatologists,500,2,0,0,0,0,1,0,0,0,1,0,0,Defence Colony,Delhi,60,0,1,160,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, DDVL, Fellowship in Aesthetic Medicine",7,97,Dermatologists,500,3,0,0,0,0,1,0,1,0,1,0,0,Banjara Hills,Hyderabad,18,0,1,73,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
BDS,11,0,Dentist,500,1,0,1,0,0,0,0,0,0,0,0,0,Sion West,Mumbai,0,500,1,789,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"MBBS, MS - ENT",14,94,ENT Specialist,100,2,0,0,0,0,1,1,0,0,0,0,0,CR Park,Delhi,0,0,1,104,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"DM - Neurology, MD - Pediatrics, MBBS",23,88,General Medicine,500,3,0,0,0,0,1,0,1,0,0,0,0,Mogappair East,Chennai,2,0,1,517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BAMS,9,0,Ayurveda,300,1,0,0,0,1,0,1,0,0,0,0,0,IP Extension,Delhi,0,0,0,269,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Cleft Lip and Craniofacial Surgery",15,100,Dentist,400,3,0,1,0,0,0,1,1,1,0,0,0,Safdarjung Enclave,Delhi,0,0,1,725,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
BDS,10,0,Dentist,250,1,0,1,0,0,0,0,0,0,0,0,0,New Friends Colony,Delhi,0,0,1,575,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"BHMS, Diploma in Cosmetology",12,90,Homeopath,300,2,0,0,1,0,0,1,0,0,1,0,0,Borivali West,Mumbai,2,0,1,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"MBBS, MS - ENT, DNB - ENT",31,80,ENT Specialist,100,3,0,0,0,0,1,1,0,0,1,0,0,Saket,Delhi,3,0,1,734,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"MBBS, AFIH",16,0,General Medicine,100,2,0,0,0,0,1,0,0,0,0,0,0,Malad,Mumbai,0,0,1,469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"BDS, MDS - Prosthodontist And Crown Bridge",8,100,Dentist,250,2,0,1,0,0,0,1,1,1,0,0,0,Hyder Nagar,Hyderabad,0,0,1,266,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"BHMS, M. D. Hom. (Practice of Medicine)",12,100,Homeopath,500,2,0,0,1,0,0,1,1,0,0,0,0,Dahisar West,Mumbai,21,0,1,157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"BAMS, Diploma in Emergency Medicine, Diploma in Counselling Skills",31,100,Ayurveda,500,3,0,0,0,1,0,1,1,0,1,0,0,RT Nagar,Bangalore,7,0,1,676,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BAMS,8,0,Ayurveda,300,1,0,0,0,1,0,1,0,0,0,0,0,Saroor Nagar,Hyderabad,0,0,0,751,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)",22,99,Homeopath,500,2,0,0,0,0,0,1,1,0,1,0,0,Powai,Mumbai,0,0,1,660,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"MBBS, MD - Dermatology , Venereology & Leprosy",7,0,Dermatologists,500,3,0,0,0,0,1,0,1,0,0,0,0,Basheerbagh,Hyderabad,0,0,0,78,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Oral and Maxillofacial Pathology",16,100,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Musheerabad,Hyderabad,0,0,1,536,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MBBS,31,0,General Medicine,200,1,0,0,0,0,1,0,0,0,0,0,0,AS Rao Nagar,Hyderabad,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"MBBS, DDVL",8,93,Dermatologists,400,2,0,0,0,0,1,0,0,0,1,0,0,Madhapur,Hyderabad,42,0,1,454,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery, MFDS RCS",10,0,Dentist,200,3,0,1,0,0,0,1,1,1,0,0,0,Coimbatore Racecourse,Coimbatore,0,0,0,144,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
MBBS,42,0,General Medicine,100,1,0,0,0,0,1,0,0,0,0,0,0,Gandhinagar,Hyderabad,0,0,0,212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
BAMS,9,0,Ayurveda,150,1,0,0,0,1,0,1,0,0,0,0,0,Chetpet,Chennai,0,0,0,126,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, DDVL",22,0,Dermatologists,650,2,0,0,0,0,1,0,0,0,1,0,0,Madhapur,Hyderabad,0,0,0,454,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
BDS,10,100,Dentist,100,1,0,1,0,0,0,0,0,0,0,0,0,Vileparle East,Mumbai,0,0,1,908,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BAMS,9,100,Ayurveda,300,1,0,0,0,1,0,1,0,0,0,0,0,KPHB,Hyderabad,0,0,1,315,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"MBBS, MS - ENT, MRCS (UK)",25,36,ENT Specialist,600,3,0,0,0,0,1,1,0,0,0,0,0,Whitefield,Bangalore,7,0,1,926,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BDS,14,100,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Yelahanka New Town,Bangalore,0,0,1,932,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS, Fellowship in Dermatological Laser Surgery",11,97,Dermatologists,400,5,0,0,0,0,1,0,1,0,0,0,0,Bannerghatta Road,Bangalore,65,0,1,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, Member of the Royal College of Physicians, UK (MRCP UK), DNB, MNAMS- Family Medicine, MD - Medicine",24,0,General Medicine,500,6,0,0,0,0,1,1,1,0,1,0,0,Kodambakkam,Chennai,3,500,1,388,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, MD - General Medicine",38,99,General Medicine,500,2,0,0,0,0,1,0,1,0,0,0,0,Malleswaram,Bangalore,54,0,1,476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, MD - Dermatology , Venereology & Leprosy",8,0,General Medicine,500,3,0,0,0,0,1,0,1,0,0,0,0,Pallikaranai,Chennai,1,500,1,607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BDS, MDS",12,99,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Nallakunta,Hyderabad,0,0,1,547,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"MDS - Prosthodontist And Crown Bridge, BDS",14,98,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Paschim Vihar,Delhi,0,0,1,624,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
BHMS,5,0,Homeopath,150,1,0,0,1,0,0,1,0,0,0,0,0,Meera Bagh,Delhi,0,0,0,502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BHMS,22,0,Homeopath,200,1,0,0,1,0,0,1,0,0,0,0,0,Chattarpur,Delhi,0,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"BHMS, MS - Psychology",14,100,Homeopath,200,2,0,0,1,0,0,1,0,0,0,0,0,HSR Layout,Bangalore,43,0,1,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MDS - Oral & Maxillofacial Surgery, BDS",6,100,Dentist,500,2,0,1,0,0,0,1,1,1,0,0,0,Andheri West,Mumbai,0,0,1,29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"MBBS, DDVL, MD - Dermatology , Venereology & Leprosy",36,78,Dermatologists,500,4,0,0,0,0,1,0,1,0,1,0,0,Himayat Nagar,Hyderabad,24,0,1,258,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BHMS, Diploma In Skin Aesthetics",6,0,Homeopath,150,2,0,0,1,0,0,1,0,0,1,0,0,Adambakkam,Chennai,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MBBS, MS - ENT",13,99,ENT Specialist,500,2,0,0,0,0,1,1,0,0,0,0,0,Punjabi Bagh,Delhi,44,0,1,666,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"MDS - Periodontology and Oral Implantology, Certificate in Cosmetic Dentistry, Post Graduate Certificate in Endodontics (PGCE), BDS, Fellow of Academy of General Education (FAGE)",13,93,Dentist,300,5,0,1,0,0,0,1,1,1,0,0,0,Saket,Delhi,0,0,1,734,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - Otorhinolaryngology",11,0,ENT Specialist,300,2,0,0,0,0,1,1,0,0,0,0,0,Paschim Vihar,Delhi,0,0,0,624,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BHMS,18,0,Homeopath,100,1,0,0,1,0,0,1,0,0,0,0,0,Mahalaxmi,Mumbai,0,0,0,463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MBBS,46,0,General Medicine,100,1,0,0,0,0,1,0,0,0,0,0,0,Kalina,Mumbai,0,0,0,330,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"MBBS, MD - Dermatology",41,87,Dermatologists,350,2,0,0,0,0,1,0,1,0,0,0,0,Attapur,Hyderabad,3,0,1,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Rheumatology",40,93,General Medicine,500,2,0,0,0,0,1,0,1,0,0,0,0,Lakdikapul,Hyderabad,9,0,1,436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"BDS, MDS - Prosthodontist And Crown Bridge",7,0,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Ambattur,Chennai,0,0,1,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Paedodontics And Preventive Dentistry",13,98,Dentist,300,2,0,1,0,0,0,1,1,1,0,0,0,Ramnagar,Coimbatore,0,0,1,696,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"MD - Dermatology, MBBS",12,97,Dermatologists,600,2,0,0,0,0,1,0,1,0,0,0,0,Shalimar Bagh,Delhi,47,0,1,769,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"MDS-Oral Pathology and Oral Microbiology, BDS",10,0,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,AS Rao Nagar,Hyderabad,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - General Medicine, FRCP, Doctor of Science (DSc.), D.LITT - Diabetology",49,0,General Medicine,100,5,0,0,0,0,1,0,1,0,0,0,0,Nungambakkam,Chennai,0,0,1,583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BDS,9,0,Dentist,250,1,0,1,0,0,0,0,0,0,0,0,0,Miyapur,Hyderabad,0,0,1,511,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
BAMS,20,0,Ayurveda,50,1,0,0,0,1,0,1,0,0,0,0,0,Sagarpur,Delhi,0,0,0,728,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, DDV",11,99,Dermatologists,100,2,0,0,0,0,1,0,0,0,1,0,0,Girgaon,Mumbai,43,0,1,219,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"BDS, MDS - Conservative Dentistry & Endodontics",10,100,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Jayanagar,Bangalore,0,0,1,297,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - General Medicine",16,0,General Medicine,150,2,0,0,0,0,1,0,1,0,0,0,0,Palayam,Thiruvananthapuram,0,0,0,603,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"BDS, MDS - Conservative Dentistry & Endodontics, FICD",24,99,Dentist,500,3,0,1,0,0,0,1,1,1,0,0,0,Munirka,Delhi,0,0,1,533,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy",33,0,Dermatologists,700,3,0,0,0,0,1,0,1,0,0,0,0,Tuglakabad,Delhi,0,0,0,854,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"MD - Dermatology , Venereology & Leprosy",10,94,Dermatologists,250,2,0,0,0,0,0,0,1,0,0,0,0,Porur,Chennai,7,0,1,658,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MBBS,36,0,General Medicine,50,1,0,0,0,0,1,0,0,0,0,0,0,Moosarambagh,Hyderabad,0,0,0,521,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"BAMS, Post Graduate Diploma in Emergency Services (PGDEMS)",8,0,Ayurveda,50,2,0,0,0,1,0,1,0,0,1,0,0,Dahisar West,Mumbai,0,0,0,157,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Get inspired by remarkable stories of people like you,0,0,Dermatologists,100,1,1,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,0,100,0,860,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"BAMS, MD - Acupuncture, Master of Hospital Administration, MS - Psychology",15,0,Ayurveda,250,4,0,0,0,1,0,1,1,0,0,0,0,Anna Nagar East,Chennai,0,0,0,32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BDS, MDS - Periodontology and Oral Implantology",7,100,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Andheri West,Mumbai,0,0,1,29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"BDS, MDS - Conservative Dentistry & Endodontics, Fellow of Academy of General Education (FAGE), BA",12,100,Dentist,500,4,0,1,0,0,0,1,1,1,0,0,0,Bandra West,Mumbai,0,0,1,71,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BHMS,12,100,Homeopath,500,1,0,0,1,0,0,1,0,0,0,0,0,Kanakpura Road,Bangalore,0,0,1,340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MD - Dermatology , Venereology & Leprosy, MBBS",13,97,Dermatologists,700,3,0,0,0,0,1,0,1,0,0,0,0,Green Park,Delhi,0,0,1,234,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, DDVL",24,0,Dermatologists,200,2,0,0,0,0,1,0,0,0,1,0,0,Maduravoyal,Chennai,0,0,0,460,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BAMS,27,0,Ayurveda,100,1,0,0,0,1,0,1,0,0,0,0,0,Dahisar East,Mumbai,0,0,0,156,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"BDS, MDS - Periodontics",12,98,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Moosapet,Hyderabad,0,0,1,520,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"BHMS, MD - Homeopathy",9,0,Homeopath,500,2,0,0,1,0,0,1,1,0,0,0,0,Yelahanka New Town,Bangalore,0,0,0,932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"BDS, PGD in Endodontics",16,100,Dentist,200,2,0,1,0,0,0,0,0,0,0,0,0,Koramangala,Bangalore,0,0,1,398,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Pedodontics",22,99,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,TV Medical College,Thiruvananthapuram,33,0,1,816,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"BDS, MDS - Periodontology and Oral Implantology",20,100,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Mogappair East,Chennai,51,0,1,517,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PhD - Orthodontics & Dentofacial Orthopaedics, MOrth",30,98,Dentist,300,2,0,0,0,0,0,0,0,0,0,1,0,Kadavanthra,Ernakulam,18,0,1,318,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, FRCP",52,0,General Medicine,100,2,0,0,0,0,1,0,0,0,0,0,0,Greams Road,Chennai,0,0,0,230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, MS - Otorhinolaryngology",13,90,ENT Specialist,350,2,0,0,0,0,1,1,0,0,0,0,0,Bommanahalli,Bangalore,23,0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"BDS, MDS - Periodontics",19,0,Dentist,300,2,0,1,0,0,0,1,1,1,0,0,0,T Nagar,Chennai,0,0,1,814,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BAMS, MS - Ayurveda",16,100,Ayurveda,300,2,0,0,0,1,0,1,0,0,0,0,0,Yelahanka,Bangalore,3,0,1,931,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BDS,10,0,Dentist,250,1,0,1,0,0,0,0,0,0,0,0,0,Hazrat Nizamuddin,Delhi,0,250,1,253,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MRCPS, MBBS",60,0,General Medicine,100,2,0,0,0,0,1,0,0,0,0,0,0,Old Rajendra Nagar,Delhi,0,0,0,589,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BAMS,12,96,Ayurveda,100,1,0,0,0,1,0,1,0,0,0,0,0,Dadar West,Mumbai,30,0,1,154,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"MBBS, Diploma in Dermatology",11,90,Dermatologists,500,2,0,0,0,0,1,0,0,0,1,0,0,Indiranagar,Bangalore,13,0,1,271,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, P.G Diploma in Aesthetic Dentistry",15,100,Dentist,200,2,0,1,0,0,0,0,0,0,1,0,0,Perumbakkam,Chennai,0,0,1,642,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MDS - Conservative Dentistry & Endodontics, BDS",6,100,Dentist,250,2,0,1,0,0,0,1,1,1,0,0,0,Arekere,Bangalore,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - General Medicine",5,0,General Medicine,500,2,0,0,0,0,1,0,1,0,0,0,0,Shaikpet,Hyderabad,0,0,1,765,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
BDS,9,0,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Vyttila,Ernakulam,0,0,0,918,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, DDV",21,95,Dermatologists,100,2,0,0,0,0,1,0,0,0,1,0,0,Khar West,Mumbai,84,0,1,377,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
BDS,7,0,Dentist,250,1,0,1,0,0,0,0,0,0,0,0,0,Kadavanthra,Ernakulam,0,0,0,318,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MD - Ayurveda Medicine, BAMS",20,0,Ayurveda,500,2,0,0,0,1,0,1,1,0,0,0,0,Goregaon West,Mumbai,0,0,0,225,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"BAMS, MS - Ayurveda",10,0,Ayurveda,150,2,0,0,0,1,0,1,0,0,0,0,0,Bakkarwala,Delhi,0,0,0,58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
BHMS,12,0,Homeopath,100,1,0,0,1,0,0,1,0,0,0,0,0,Nesapakkam,Chennai,0,0,0,570,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BHMS,12,0,Homeopath,500,1,0,0,1,0,0,1,0,0,0,0,0,Malleswaram,Bangalore,0,0,1,476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BHMS,26,82,Homeopath,200,1,0,0,1,0,0,1,0,0,0,0,0,BTM Layout 2nd Stage,Bangalore,15,0,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MBBS, Diploma in Otorhinolaryngology (DLO)",31,0,ENT Specialist,200,2,0,0,0,0,1,0,0,0,1,0,0,Ashok Nagar,Chennai,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
